P,SFT,W,P,S,B,F,G,T7,T3,U,Fi
7206ad90-62d5-4743-9f74-b9b60b9e4dc2,0.73,0.14285714285714285,0.2857142857142857,0.2857142857142857,6.0,4.714285714285714,3.8,31.46,31.586666666666666,2,4.5
ff8ab1b4-df77-435e-9bb6-66b80ece1c07,0.23,0.0,0.2857142857142857,0.42857142857142855,5.571428571428571,3.857142857142857,3.0,31.39,31.30666666666667,1,4.5
3e310612-4377-4b6f-bf30-a0559f9bf8ce,0.80,0.2857142857142857,0.42857142857142855,0.42857142857142855,6.142857142857143,4.571428571428571,3.5,31.34,31.293333333333333,2,4.5
35131682-3f5e-4f24-8936-f3695654bbe0,0.57,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.1428571428571428,4.0,3.0,31.604285714285716,31.593333333333334,3,4.5
924ee7f8-7dfb-47a2-a77a-b6b0193a8b2b,0.44,0.0,0.42857142857142855,0.5714285714285714,3.2857142857142856,4.0,3.4,31.16,30.94333333333333,1,4.5
392b1a34-e6dd-4a8a-ba36-c9030b7336d7,0.56,0.2857142857142857,0.42857142857142855,0.5714285714285714,4.428571428571429,3.5714285714285716,2.1666666666666665,31.48,31.39666666666667,1,4.5
d4d5d45e-b63d-472f-8010-2243d1f17c96,0.62,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.833333333333333,5.0,3.75,31.395,31.31,2,4.5
e375649f-9271-4220-b904-36f0e3d8650c,0.00,0.2857142857142857,0.2857142857142857,0.2857142857142857,3.7142857142857144,4.571428571428571,4.0,31.187142857142856,31.116666666666667,1,4.5
3496eae7-e4ee-4aa2-90f7-09107d702dc6,0.39,0.14285714285714285,0.2857142857142857,0.42857142857142855,4.857142857142857,4.142857142857143,3.8333333333333335,31.298571428571428,31.403333333333332,0,4.5
ada40dfe-e763-4761-8561-29458f0d84d5,0.69,0.16666666666666666,0.3333333333333333,0.3333333333333333,3.6666666666666665,5.166666666666667,4.0,31.465,31.466666666666665,1,4.5
f16b1175-1c85-4b41-96e2-c25b1d0d139e,0.11,0.42857142857142855,0.7142857142857143,0.7142857142857143,2.857142857142857,2.5714285714285716,3.75,30.902857142857144,30.826666666666668,1,4.5
264c8933-c094-4aed-9d08-42ccc8bb60a7,0.59,0.14285714285714285,0.42857142857142855,0.7142857142857143,5.428571428571429,3.4285714285714284,4.0,31.228571428571428,31.30666666666667,1,4.5
bb7c0131-aebd-48e1-95f9-154ae1c297de,0.35,0.42857142857142855,0.42857142857142855,0.7142857142857143,2.2857142857142856,2.857142857142857,4.0,30.97,30.723333333333333,0,4.5
b1ccc6a0-8785-4c97-b90c-cbe380a6d31b,0.48,0.14285714285714285,0.5714285714285714,0.7142857142857143,3.142857142857143,2.857142857142857,4.0,31.085714285714285,31.133333333333333,0,4.5
df2f2f03-84f1-47c3-8502-4d1f363d04b8,0.39,0.2857142857142857,0.42857142857142855,0.5714285714285714,2.142857142857143,3.4285714285714284,3.0,31.47,31.053333333333335,1,4.5
e0a04c8e-3f55-49a2-bb7d-6fbb99258e91,0.00,0.0,0.6666666666666666,0.6666666666666666,3.0,3.0,1.0,31.463333333333335,31.333333333333332,0,4.5
31e60814-7aa3-4abc-a1ca-b8cf47c4cdc9,0.23,0.0,0.0,0.14285714285714285,6.571428571428571,4.857142857142857,2.25,31.43,31.366666666666667,2,4.5
42356f69-9def-4496-8573-5eb8030c331b,0.45,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.714285714285714,3.7142857142857144,1.25,31.614285714285714,31.623333333333335,1,4.5
cd04e19f-0351-49ff-b8ee-fe531a153c9d,0.20,0.0,0.0,0.2857142857142857,3.7142857142857144,5.0,1.3333333333333333,31.74142857142857,31.516666666666666,0,4.5
a2e953a7-933d-44d9-9986-b66ffdcdffdb,0.49,0.14285714285714285,0.2857142857142857,0.2857142857142857,3.0,4.714285714285714,1.0,31.935714285714287,32.056666666666665,1,4.5
0ac1c050-6a39-4078-a3d3-7c3294e2f29e,0.42,0.14285714285714285,0.14285714285714285,0.2857142857142857,6.0,5.0,1.4285714285714286,31.662857142857142,31.88,3,4.5
165a2198-efb7-4f12-8bff-2459922aaf45,0.18,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.2857142857142856,3.5714285714285716,1.0,31.61857142857143,31.253333333333334,1,4.5
d868fce0-933d-4f39-a620-38189a0af777,0.22,0.14285714285714285,0.2857142857142857,0.2857142857142857,4.0,5.285714285714286,1.0,31.927142857142858,31.756666666666668,0,4.5
438a95ad-e645-4853-a33d-4a27932f2a73,0.00,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.6666666666666665,3.3333333333333335,1.0,31.38,31.38,2,4.5
bd537195-bd7d-4153-aac5-d8795e04e398,0.10,0.0,0.14285714285714285,0.2857142857142857,4.428571428571429,4.714285714285714,1.5,31.557142857142857,31.726666666666667,2,4.5
f80f4bbf-4e9c-4c71-a539-6c11ea76686a,0.58,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.666666666666667,2.3333333333333335,1.0,31.78,31.78,2,4.5
5dbcfad9-6b8e-462c-a122-3d9abb161cf3,0.47,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.0,5.142857142857143,1.3333333333333333,31.60857142857143,31.813333333333333,0,4.5
