PID,SFT,W,P,S,B,F,G,T7,T3,U,Fi,BW,BP,BS
d94e53cb-507a-4f85-aaa9-c798410fed4c,0.74,0.0,0.0,0.14285714285714285,5.285714285714286,2.7142857142857144,3.5714285714285716,30.247142857142858,30.35,0,4,0,0,0
c81c1fdb-ed18-44c6-9121-30d3aa39ae94,0.71,0.0,0.0,0.0,7.714285714285714,4.285714285714286,4.428571428571429,30.41857142857143,30.34,0,5,0,0,0
b5b77a5e-2b58-4c69-b731-2a60988f4c9d,0.89,0.0,0.0,0.0,3.0,4.285714285714286,4.571428571428571,30.548571428571428,30.763333333333332,3,8,0,0,0
54a07705-31f2-4be7-9150-aa8cc94bc5e6,0.00,0.0,0.0,0.0,4.714285714285714,4.571428571428571,4.571428571428571,30.607142857142858,30.516666666666666,3,2,0,0,0
e0bbb60c-521a-4d87-81dc-15eebf259d16,0.16,0.0,0.0,0.0,5.571428571428571,4.857142857142857,4.333333333333333,30.768571428571427,30.586666666666666,0,6,0,0,0
0ae5f868-bb05-451a-ad50-b0401d50e5a2,0.02,0.0,0.0,0.14285714285714285,3.2857142857142856,4.428571428571429,4.285714285714286,30.694285714285716,30.55,0,7,0,0,0
8bbacda8-8a88-41fc-b00e-103c6d4fd2fc,0.12,0.0,0.0,0.14285714285714285,2.142857142857143,2.7142857142857144,3.0,30.574285714285715,30.486666666666668,0,8,0,0,0
771c0d02-bb5d-458a-905b-2c4c1f49d89d,0.44,0.0,0.0,0.14285714285714285,4.285714285714286,4.285714285714286,3.857142857142857,30.665714285714287,30.606666666666666,0,1,0,0,0
5e56c2d2-c2bd-465e-b9a3-a552272c5955,0.36,0.0,0.0,0.0,3.857142857142857,5.142857142857143,4.428571428571429,30.617142857142856,30.643333333333334,0,2,0,0,0
53d27f2c-697e-49f6-a247-4f1f20909e2b,0.35,0.0,0.0,0.14285714285714285,3.7142857142857144,3.857142857142857,3.857142857142857,30.625714285714285,30.85,0,3,0,0,0
53a6e33f-42ab-4cb9-af99-0367a0a619d3,0.25,0.0,0.14285714285714285,0.0,3.7142857142857144,3.0,3.3333333333333335,30.405714285714286,30.096666666666668,0,4,0,0,0
ca644a5d-a113-42cf-be53-8d86ddc8b434,0.46,0.0,0.0,0.14285714285714285,6.0,3.5714285714285716,4.0,30.662857142857142,30.756666666666668,0,5,0,0,0
a6a89cfb-3391-4edb-8f60-9b1e38269e8f,0.34,0.0,0.0,0.0,3.857142857142857,4.0,4.571428571428571,30.39142857142857,30.633333333333333,3,6,0,0,0
e21fd680-569b-4ce7-a997-b67708a5164b,0.00,0.0,0.0,0.0,4.428571428571429,4.714285714285714,3.0,30.61285714285714,30.7,0,7,0,0,0
b1e851d7-b927-471b-858c-f6af7410c084,0.02,0.14285714285714285,0.0,0.0,6.0,2.2857142857142856,2.142857142857143,30.534285714285716,30.346666666666668,0,4,0,0,0
8ac36eaf-d9da-4fa5-9d85-77f4744956bb,0.24,0.0,0.0,0.0,3.4285714285714284,4.142857142857143,3.4,30.814285714285713,30.64,1,5,0,0,0
694670c1-ea5f-4f33-9f74-2898976e5bde,0.21,0.0,0.0,0.0,4.285714285714286,4.571428571428571,3.0,30.705714285714286,30.663333333333334,0,6,0,0,0
1b324b79-b9ef-4574-9e71-686dc2b5cb04,0.22,0.0,0.0,0.0,3.5714285714285716,5.428571428571429,4.857142857142857,30.66,30.756666666666668,2,7,0,0,0
afef1bda-83f9-410f-ab84-bd2880f94a20,0.49,0.0,0.0,0.0,6.142857142857143,4.285714285714286,3.142857142857143,30.715714285714284,30.563333333333333,0,3,0,0,0
fb7be523-fdc6-47a5-9fbb-c34cfa1d1454,0.00,0.0,0.14285714285714285,0.0,4.428571428571429,3.7142857142857144,3.5714285714285716,30.464285714285715,30.22,0,4,0,0,0
2ef28f13-67d5-43d8-928b-e24f76f8a69a,0.14,0.14285714285714285,0.0,0.0,4.428571428571429,4.428571428571429,3.4285714285714284,30.654285714285713,30.596666666666668,0,5,0,0,0
667228f1-7c21-46c9-a8a7-177136f44b00,0.10,0.0,0.0,0.0,4.428571428571429,3.7142857142857144,4.0,30.52,30.683333333333334,0,6,0,0,0
1e6cf334-8e56-4500-88f1-6f50819aaab6,0.09,0.0,0.14285714285714285,0.0,4.714285714285714,4.142857142857143,3.857142857142857,30.55857142857143,30.496666666666666,0,7,0,0,0
3229bead-6235-44ce-8a4c-4dde4c9092e7,0.36,0.0,0.0,0.0,5.714285714285714,4.142857142857143,4.571428571428571,30.62142857142857,30.666666666666668,1,2,0,0,0
863f2fa6-416c-4d6b-9c2a-797d261a2244,0.65,0.0,0.0,0.0,5.285714285714286,5.0,3.5714285714285716,30.792857142857144,30.83,0,3,0,0,0
d5a77ad4-efd7-45ed-a29c-5448732cbe25,0.36,0.0,0.0,0.0,5.0,4.142857142857143,3.2857142857142856,30.855714285714285,30.543333333333333,0,4,0,0,0
43910f68-a434-40f0-884e-80a325d0d74d,0.22,0.0,0.0,0.0,4.0,3.857142857142857,5.0,30.475714285714286,30.706666666666667,3,5,0,0,0
7ddf26cf-1b23-45c6-9efe-9e686ede61db,0.00,0.0,0.0,0.0,5.285714285714286,3.2857142857142856,3.0,30.502857142857142,30.41,0,6,0,0,0
d1079e20-08a3-4e0d-b652-a5f72a82a760,0.63,0.14285714285714285,0.0,0.0,3.857142857142857,3.857142857142857,3.5714285714285716,30.534285714285716,30.56,0,7,0,0,0
fad04db9-e540-413c-a5db-100a14f91b00,0.48,0.14285714285714285,0.0,0.0,4.0,4.285714285714286,3.4285714285714284,30.69,30.493333333333332,0,8,0,0,0
29a3d386-f905-494d-888d-21088b49e8a4,0.25,0.0,0.0,0.0,3.5714285714285716,5.571428571428571,5.0,30.64,30.696666666666665,3,2,0,0,0
d5d2ab2c-52ec-425f-9200-e8522f9babb8,0.33,0.14285714285714285,0.0,0.0,6.571428571428571,3.0,3.0,30.481428571428573,30.55,0,3,0,0,0
