@relation Metric
@attribute PID string
@attribute SFT numeric
@attribute W numeric
@attribute P numeric
@attribute S numeric
@attribute B numeric
@attribute E numeric
@attribute St numeric
@attribute F numeric
@attribute G numeric
@attribute T7 numeric
@attribute T3 numeric
@attribute U numeric
@attribute A numeric
@attribute Se {M, F}
@attribute LB numeric
@attribute PF numeric
@attribute TF numeric
@attribute RHF numeric
@attribute Fi numeric
@data
8778264d-1ad1-45d1-a228-b81903850251,0.6800,0.0000,0.0000,0.0000,3.6667,1.0000,1.3333,3.6667,1.3333,30.7500,30.7500,0,1177,F,67.3333,1.0000,0.0000,0.0000,6
058c6248-5f5f-4dce-9cab-9a63d3f10936,0.4800,0.0000,0.0000,0.0000,2.6667,3.6667,4.3333,4.6667,1.0000,31.1300,31.1300,0,1138,F,59.1667,1.0000,1.0000,1.0000,5
cb6d1b6c-e1e7-44cf-b646-e887e4474a2c,0.0700,0.3333,0.0000,0.0000,3.3333,3.6667,3.0000,4.3333,1.0000,31.0867,31.0867,0,834,M,69.3333,0.7807,0.1230,1.0000,4
2f304f8a-7a5c-4c9a-a1c9-95db8b4bc8f3,0.5800,0.0000,0.0000,0.0000,3.5000,1.5000,2.5000,4.0000,3.0000,31.2100,31.3767,0,871,M,70.5000,0.5278,0.6337,0.2300,3
60cb1c36-42e8-4518-b1ae-860c1c334580,0.0000,0.3333,0.0000,0.0000,5.0000,2.3333,2.0000,3.0000,2.0000,31.1933,31.1933,0,736,F,62.0000,1.0000,0.0000,0.0000,2
3f7ea65b-5293-40b5-a7dd-20c24a15f5c4,0.3500,0.0000,0.0000,0.3333,2.6667,1.3333,2.0000,2.3333,2.6667,30.7467,30.7467,0,941,M,69.0000,1.0000,1.0000,0.0000,1
df0963b1-bfbf-49b2-a113-934a2e967a25,0.3500,0.0000,0.0000,0.0000,4.2500,4.2500,4.2500,3.5000,2.0000,30.8700,30.9333,0,1153,F,70.5000,0.4286,1.0000,0.3074,1
78f2cf27-206c-45cc-b24c-407de431f9b7,0.0000,0.0000,0.2500,0.0000,5.2500,2.5000,2.0000,2.7500,2.5000,31.1575,31.1533,0,738,F,62.0000,0.0000,0.0000,0.8534,6
6d4d52e9-4602-447f-9e33-ffd322f9f26a,0.8700,0.0000,0.0000,0.0000,5.0000,3.0000,4.0000,4.0000,1.7500,30.9175,30.7300,0,843,M,72.7500,0.0000,1.0000,0.1768,5
1cb7f542-0b70-44ec-ac16-c3869c938f76,0.6300,0.0000,0.0000,0.0000,1.5000,2.0000,1.5000,4.0000,3.0000,30.9225,30.8800,0,873,M,73.2500,1.0000,0.0000,0.3703,4
24028019-4c6f-4f42-b5b6-69c6a0b60471,0.7400,0.2500,0.0000,0.0000,2.7500,3.2500,2.2500,1.5000,2.0000,30.6075,30.7133,0,1025,F,63.2500,1.0000,0.0000,0.8818,3
9a056abc-97c1-4deb-886e-34f1f8e071d9,0.2100,0.0000,0.0000,0.0000,5.0000,3.0000,4.0000,4.2500,2.5000,31.1375,31.2433,0,600,F,58.2500,0.6000,1.0000,0.2161,2
b4fbff95-fa72-451b-957c-c4310e54394e,0.9600,0.0000,0.2000,0.0000,5.2000,2.2000,2.0000,1.4000,3.2000,30.4340,30.4600,0,873,F,60.2000,0.0000,0.0930,0.1360,8
fd7243b0-c52e-40b7-a256-de9367e4c87f,0.9400,0.0000,0.2000,0.0000,3.8000,3.0000,4.0000,3.8000,3.2000,31.1900,31.6467,0,765,M,75.7000,0.7692,0.4499,0.7759,7
5c7b7e95-8189-4a06-a479-1dda4411a528,0.6400,0.0000,0.3333,0.0000,5.6667,4.3333,2.6667,3.0000,1.3333,31.0167,31.0167,0,984,M,72.6667,0.8097,1.0000,0.0000,6
1e4de8a5-586a-4fab-899e-7c83d9ac1fa1,0.5700,0.0000,0.2500,0.0000,3.2500,2.5000,2.2500,2.7500,3.0000,30.7525,30.8267,0,1250,F,60.0000,0.1389,0.0000,0.8890,5
b5482e86-1a98-495d-8474-2b70992d467f,0.4200,0.2000,0.0000,0.0000,5.6000,2.8000,2.4000,2.8000,3.2000,31.1700,31.2700,0,874,M,74.3000,1.0000,0.0000,0.8396,4
86a01cfe-d821-4ac0-ba09-0ac0d98cb0f4,0.2100,0.0000,0.0000,0.0000,4.0000,5.0000,6.2500,4.7500,3.0000,30.9925,31.0167,0,1147,F,63.2500,0.8889,0.4899,0.6309,3
